Composer,no_tracks
R.E.M.,17
Gilberto Gil,17
Billie Joe Armstrong,18
J.C. Fogerty,19
Herbert Vianna,21
Titãs,22
Bill Berry,22
Billy Corgan,23
U2,33
Steve Harris,58
